Query_ID,Tipo,K,Tempo_ms,Paginas_Lidas,Recall,Resultados_Encontrados
35,Range,0.1,23.989,2164,1,90288
36,Range,0.1,36.593,3286,1,127056
37,Range,0.1,15.372,1364,1,54198
38,Range,0.1,28.402,2529,1,123224
39,Range,0.1,38.35,3409,1,172431
40,Range,0.1,37.818,3342,1,164052
41,Range,0.1,36.921,3300,1,165631
42,Range,0.1,33.559,3005,1,147816
43,Range,0.1,38.612,3481,1,176568
44,Range,0.1,37.802,3387,1,159795
45,Range,0.1,29.842,2519,1,80273
46,Range,0.1,33.508,2921,1,127064
47,Range,0.1,9.569,802,1,25233
48,Range,0.1,36.163,3073,1,149031
49,Range,0.1,14.749,1304,0.99964,63832
50,Range,0.1,28.867,2583,1,124977
51,Range,0.1,43.277,3923,1,174366
52,Range,0.1,30.374,2727,1,134004
53,Range,0.1,26.327,2363,1,106380
54,Range,0.1,39.152,3518,1,174983
55,Range,0.1,21.114,1882,0.999752,88764
56,Range,0.1,13.905,1234,1,51358
57,Range,0.1,11.513,1020,1,50957
58,Range,0.1,21.237,1782,1,84520
59,Range,0.1,40.048,3615,1,164507
60,Range,0.1,13.365,1192,0.999895,57024
61,Range,0.1,31.482,2835,1,101792
62,Range,0.1,38.919,3513,1,156518
63,Range,0.1,7.386,647,1,31744
64,Range,0.1,37.237,3351,1,147234
65,Range,0.1,31.271,2798,1,137554
66,Range,0.1,29.62,2672,1,124813
67,Range,0.1,27.161,2456,1,114367
68,Range,0.1,29.288,2642,1,83601
69,Range,0.1,13.499,1210,1,50954
70,Range,0.1,8.334,738,1,39959
71,Range,0.1,25.563,2276,1,94950
72,Range,0.1,30.58,2706,1,127710
73,Range,0.1,37.258,3280,1,133396
74,Range,0.1,25.526,2236,1,83365
75,Range,0.1,19.343,1671,0.999704,77556
76,Range,0.1,16.958,1476,0.999608,58677
77,Range,0.1,19.825,1719,0.999707,78574
78,Range,0.1,16.643,1439,0.999651,65843
79,Range,0.1,41.918,3672,1,166882
80,Range,0.1,26.047,2270,0.999989,89887
81,Range,0.1,22.011,1901,0.999734,86285
82,Range,0.1,31.016,2723,1,97589
83,Range,0.1,14.224,1223,1,56025
84,Range,0.1,16.969,1456,0.999671,69873
85,Range,0.1,32.79,2877,1,123704
86,Range,0.1,28.117,2459,1,110247
87,Range,0.1,23.043,2000,1,98131
88,Range,0.1,7.713,658,1,30151
89,Range,0.1,28.098,2408,1,114551
90,Range,0.1,3.792,315,1,10037
91,Range,0.1,9.623,811,1,41055
92,Range,0.1,20.065,1761,1,51706
93,Range,0.1,7.307,620,1,25812
94,Range,0.1,17.97,1573,1,39920
95,Range,0.1,25.087,2192,1,66732
96,Range,0.1,13.684,1181,0.999618,60186
97,Range,0.1,39.161,3410,1,152498
98,Range,0.1,45.444,3976,1,183117
99,Range,0.1,36.26,3142,1,141977
