Query_ID,Tipo,K,Tempo_ms,Paginas_Lidas,Recall,Resultados_Encontrados
44,Range,0.1,0.861,14,1,1
45,Range,0.1,1.883,31,1,1
46,Range,0.1,1.354,24,1,1
47,Range,0.1,2.458,45,1,1
48,Range,0.1,1.709,29,1,1
49,Range,0.1,1.739,32,1,1
50,Range,0.1,1.76,29,1,1
51,Range,0.1,0.616,10,1,1
52,Range,0.1,1.845,33,1,1
53,Range,0.1,1.921,34,1,1
54,Range,0.1,2.093,39,1,1
55,Range,0.1,1.022,20,1,1
56,Range,0.1,1.812,32,1,1
57,Range,0.1,2.041,32,1,1
58,Range,0.1,0.813,13,1,1
59,Range,0.1,1.114,20,1,1
60,Range,0.1,1.882,34,1,1
61,Range,0.1,1.169,22,1,1
62,Range,0.1,1.591,30,1,1
63,Range,0.1,1.187,21,1,1
64,Range,0.1,0.668,10,1,1
65,Range,0.1,3.656,66,1,1
66,Range,0.1,1.973,37,1,1
67,Range,0.1,0.789,14,1,1
68,Range,0.1,1.846,32,1,1
69,Range,0.1,1.07,18,1,1
70,Range,0.1,1.502,26,1,1
71,Range,0.1,1.44,25,1,1
72,Range,0.1,1.573,29,1,1
73,Range,0.1,1.641,30,1,1
74,Range,0.1,1.255,21,1,1
75,Range,0.1,1.591,27,1,1
76,Range,0.1,1.367,25,1,1
77,Range,0.1,1.344,21,1,1
78,Range,0.1,1.83,33,1,1
79,Range,0.1,0.751,13,1,1
80,Range,0.1,3.929,69,1,1
81,Range,0.1,1.226,24,1,1
82,Range,0.1,1.783,32,1,1
83,Range,0.1,3.415,58,1,1
84,Range,0.1,0.961,17,1,1
85,Range,0.1,0.479,9,1,1
86,Range,0.1,2.707,49,1,1
87,Range,0.1,2.119,39,1,1
88,Range,0.1,1.303,25,1,1
89,Range,0.1,2.013,34,1,1
90,Range,0.1,2.289,42,1,1
91,Range,0.1,1.996,35,1,1
92,Range,0.1,1.998,37,1,1
93,Range,0.1,3.546,61,1,1
94,Range,0.1,2.799,53,1,1
95,Range,0.1,1.256,22,1,1
96,Range,0.1,1.241,23,1,1
97,Range,0.1,1.52,27,1,1
98,Range,0.1,1.675,29,1,1
99,Range,0.1,3.406,65,1,1
