Query_ID,Tipo,K,Tempo_ms,Paginas_Lidas,Recall,Resultados_Encontrados
86,kNN,5,117.104,8516,1,5
87,kNN,5,16.05,1161,1,5
88,kNN,5,217.743,15494,1,5
89,kNN,5,65.1472,4759,1,5
90,kNN,5,188.645,13576,1,5
91,kNN,5,216.298,15486,1,5
92,kNN,5,32.7022,2388,1,5
93,kNN,5,162.209,11657,1,5
94,kNN,5,120.638,8710,1,5
95,kNN,5,122.223,8659,1,5
96,kNN,5,143.052,10288,1,5
97,kNN,5,135.065,9584,1,5
98,kNN,5,42.837,3112,1,5
99,kNN,5,134.346,9719,1,5
0,Range,0.1,45.787,3406,1,372
1,Range,0.1,107.086,7930,1,3268
2,Range,0.1,98.16,7256,1,8219
3,Range,0.1,162.636,11846,1,3368
4,Range,0.1,70.805,5195,1,578
5,Range,0.1,166.246,11802,1,127093
6,Range,0.1,191.698,13568,1,119756
7,Range,0.1,162.703,11643,1,31461
8,Range,0.1,137.517,9722,1,100991
9,Range,0.1,115.875,8520,1,7956
10,Range,0.1,213.508,15497,1,28400
11,Range,0.1,162.996,11665,1,104344
12,Range,0.1,159.114,11215,1,39080
13,Range,0.1,13.827,972,1,6004
14,Range,0.1,127.123,9149,1,12749
15,Range,0.1,119.753,8391,1,107226
16,Range,0.1,57.045,3517,1,2189
17,Range,0.1,13.974,934,1,2
18,Range,0.1,186.366,12936,1,1
19,Range,0.1,162.145,11384,1,119165
20,Range,0.1,152.267,10276,1,59598
21,Range,0.1,169.652,12198,1,140715
22,Range,0.1,155.751,11389,1,66055
23,Range,0.1,163.401,11703,1,71770
24,Range,0.1,136.671,10135,1,2221
25,Range,0.1,219.955,15488,1,375
26,Range,0.1,188.893,13574,1,116003
27,Range,0.1,162.424,11894,1,5879
28,Range,0.1,12.605,922,1,261
29,Range,0.1,177.13,13015,1,5471
30,Range,0.1,178.505,13102,1,70
31,Range,0.1,34.594,2555,1,1933
32,Range,0.1,157.845,11316,1,54275
33,Range,0.1,181.007,12946,1,152318
34,Range,0.1,163.454,11661,1,86715
35,Range,0.1,213.518,15495,1,18384
36,Range,0.1,177.949,12734,1,54363
37,Range,0.1,164.572,11801,1,99037
38,Range,0.1,15.478,1145,1,958
39,Range,0.1,172.308,12200,1,117491
40,Range,0.1,144.548,10472,1,29372
41,Range,0.1,170.402,12124,1,111160
42,Range,0.1,139.122,10223,1,14409
43,Range,0.1,29.418,2165,1,1
44,Range,0.1,178.481,13030,1,2805
45,Range,0.1,161.013,11546,1,21439
46,Range,0.1,169.032,12119,1,109732
47,Range,0.1,23.076,1696,1,2864
48,Range,0.1,120.427,8612,1,128169
49,Range,0.1,213.65,15498,1,24962
50,Range,0.1,98.486,7250,1,1700
51,Range,0.1,61.249,4488,1,188
52,Range,0.1,136.117,10165,1,64
53,Range,0.1,130.453,9383,1,52509
54,Range,0.1,145.56,10565,1,13966
55,Range,0.1,161.798,11664,1,204685
56,Range,0.1,177.92,13081,1,1401
57,Range,0.1,157.164,11217,1,82907
58,Range,0.1,144.295,10401,1,55853
59,Range,0.1,145.459,10469,1,88384
60,Range,0.1,170.271,12200,1,75127
61,Range,0.1,169.548,12123,1,71608
62,Range,0.1,168.211,12218,1,19901
63,Range,0.1,97.717,7094,1,18623
64,Range,0.1,120.122,8571,1,159928
65,Range,0.1,166.407,12146,1,844
66,Range,0.1,145.376,10402,1,120636
67,Range,0.1,122.06,8609,1,140454
68,Range,0.1,54.833,3960,1,31025
69,Range,0.1,117.747,8633,1,18713
70,Range,0.1,179.605,13089,1,5886
71,Range,0.1,211.996,15499,1,25003
72,Range,0.1,163.51,11947,1,11379
73,Range,0.1,26.966,1970,1,1134
74,Range,0.1,169.175,11701,1,173527
75,Range,0.1,191.51,13577,1,10441
76,Range,0.1,195.293,13944,1,28694
77,Range,0.1,115.96,8449,1,4799
78,Range,0.1,215.235,15499,1,4747
79,Range,0.1,152.293,10873,1,46860
80,Range,0.1,14.811,1015,1,25
81,Range,0.1,217.837,15496,1,1484
82,Range,0.1,89.289,6256,1,23170
83,Range,0.1,9.947,712,1,510
84,Range,0.1,183.893,13108,1,17529
85,Range,0.1,172.692,12122,1,75237
86,Range,0.1,219.622,15505,1,8704
87,Range,0.1,194.52,12947,1,108216
88,Range,0.1,72.371,5245,1,218
89,Range,0.1,219.887,15488,1,45281
90,Range,0.1,26.794,1927,1,2090
91,Range,0.1,161.659,11557,1,22222
92,Range,0.1,191.685,13578,1,73610
93,Range,0.1,170.714,12123,1,50046
94,Range,0.1,171.621,12459,1,7508
95,Range,0.1,23.899,1725,1,3138
96,Range,0.1,102.901,7368,1,61978
97,Range,0.1,207.89,14593,1,45208
98,Range,0.1,163.874,11879,1,12146
99,Range,0.1,72.612,5285,1,42
